,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,technique,sweetness,type
0,6.0,0.31,0.47,3.6,0.067,18.0,42.0,0.99549,3.39,0.66,11.0,decent,organic,dry,red regular
1,7.0,0.53,0.43,6.1,0.028999999999999998,6.0,76.0,0.99118,3.08,0.5,12.5,very good,organic,dry,white full_bodied
2,7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,poor,organic,dry,red fresh
3,6.6,0.32,0.26,7.7,0.054000000000000006,56.0,209.0,0.9961,3.17,0.45,8.8,poor,traditional,dry,white light_bodied
4,6.1,0.25,0.3,1.2,0.036000000000000004,42.0,107.0,0.991,3.34,0.56,10.8,good,organic,dry,white light_bodied
5,5.9,0.29,0.28,3.2,0.035,16.0,117.0,0.98959,3.26,0.42,12.6,decent,organic,dry,white full_bodied
6,6.5,0.24,0.29,8.2,0.043,32.0,156.0,0.9945299999999999,3.13,0.7,10.1,decent,traditional,dry,white light_bodied
7,6.8,0.22,0.36,1.2,0.052000000000000005,38.0,127.0,0.9933,3.04,0.54,9.2,poor,traditional,dry,white light_bodied
8,6.7,0.24,0.46,2.2,0.033,19.0,111.0,0.99045,3.1,0.62,11.9,decent,organic,dry,white full_bodied
9,7.2,0.31,0.24,1.4,0.057,17.0,117.0,0.9928,3.16,0.35,10.5,poor,organic,dry,white light_bodied
10,6.6,0.25,0.3,1.6,0.046,32.0,134.0,0.993,3.42,0.51,10.1,good,traditional,dry,white light_bodied
11,7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.9937,3.42,0.5,10.1,decent,traditional,dry,white light_bodied
12,6.9,0.25,0.35,1.3,0.039,29.0,191.0,0.9908,3.13,0.52,11.0,decent,traditional,dry,white light_bodied
13,8.8,0.35,0.49,1.0,0.036000000000000004,14.0,56.0,0.992,2.96,0.33,10.5,very poor,organic,dry,white light_bodied
14,6.2,0.57,0.1,2.1,0.048,4.0,11.0,0.9944799999999999,3.44,0.76,10.8,decent,organic,dry,red regular
15,6.6,0.21,0.29,5.35,0.028999999999999998,43.0,106.0,0.9911200000000001,2.93,0.43,11.5,good,organic,dry,white full_bodied
16,7.4,0.27,0.26,11.8,0.053,55.0,173.0,0.9969899999999999,3.11,0.6,9.8,poor,traditional,off-dry,white light_bodied
17,10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3,decent,organic,dry,red regular
18,6.4,0.24,0.26,8.2,0.054000000000000006,47.0,182.0,0.9953799999999999,3.12,0.5,9.5,poor,traditional,dry,white light_bodied
19,6.8,0.64,0.08,9.7,0.062,26.0,142.0,0.9972,3.37,0.46,8.9,very poor,traditional,dry,white light_bodied
20,6.2,0.25,0.25,1.4,0.03,35.0,105.0,0.9912,3.3,0.44,11.1,good,organic,dry,white full_bodied
21,5.2,0.405,0.15,1.45,0.038,10.0,44.0,0.99125,3.52,0.4,11.6,very poor,organic,dry,white full_bodied
22,7.0,0.15,0.34,1.4,0.039,21.0,177.0,0.9927,3.32,0.62,10.8,poor,traditional,dry,white light_bodied
23,5.1,0.29,0.28,8.3,0.026000000000000002,27.0,107.0,0.99308,3.36,0.37,11.0,decent,organic,dry,white light_bodied
24,6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.9942,2.99,0.48,9.5,very poor,organic,dry,white light_bodied
25,7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,3.03,0.42,9.0,decent,traditional,off-dry,white light_bodied
26,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.9989600000000001,3.1,0.45,8.9,decent,organic,off-dry,white light_bodied
27,6.7,0.7,0.08,3.75,0.067,8.0,16.0,0.99334,3.43,0.52,12.6,poor,organic,dry,red intense
28,6.4,0.57,0.02,1.8,0.067,4.0,11.0,0.997,3.46,0.68,9.5,poor,organic,dry,red fresh
29,6.4,0.125,0.36,1.4,0.044000000000000004,22.0,68.0,0.9901399999999999,3.15,0.5,11.7,good,organic,dry,white full_bodied
30,7.2,0.16,0.26,7.1,0.054000000000000006,41.0,224.0,0.9966,3.38,0.55,10.1,poor,traditional,dry,white light_bodied
31,8.4,0.23,0.32,1.3,0.048,59.0,113.0,0.9917799999999999,3.1,0.55,11.0,decent,organic,dry,white light_bodied
32,6.4,0.18,0.74,11.9,0.046,54.0,168.0,0.9978,3.58,0.68,10.1,poor,traditional,off-dry,white light_bodied
33,8.2,0.28,0.6,3.0,0.10400000000000001,10.0,22.0,0.99828,3.39,0.68,10.6,poor,organic,dry,red regular
34,6.3,0.24,0.35,2.3,0.039,43.0,109.0,0.99056,3.34,0.44,11.8,decent,organic,dry,white full_bodied
35,7.3,0.21,0.3,10.9,0.037000000000000005,18.0,112.0,0.997,3.4,0.5,9.6,decent,organic,off-dry,white light_bodied
36,7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,good,traditional,off-dry,white light_bodied
37,11.2,0.5,0.74,5.15,0.1,5.0,17.0,0.9996,3.22,0.62,11.2,poor,organic,dry,red regular
38,7.7,0.27,0.49,3.8,0.037000000000000005,46.0,139.0,0.99116,3.04,0.38,11.6,decent,traditional,dry,white full_bodied
39,5.1,0.42,0.01,1.5,0.017,25.0,102.0,0.9894,3.38,0.36,12.3,good,organic,dry,white full_bodied
40,7.3,0.3,0.74,13.5,0.039,46.0,165.0,0.9982,3.02,0.4,8.7,poor,traditional,off-dry,white light_bodied
41,6.8,0.67,0.0,1.9,0.08,22.0,39.0,0.9970100000000001,3.4,0.74,9.7,poor,organic,dry,red fresh
42,7.5,0.29,0.36,15.7,0.05,29.0,124.0,0.9968,3.06,0.54,10.4,poor,traditional,off-dry,white light_bodied
43,6.8,0.23,0.29,12.2,0.035,38.0,236.0,0.9976,3.35,0.52,9.8,decent,traditional,off-dry,white light_bodied
44,7.1,0.45,0.24,2.7,0.04,24.0,87.0,0.98862,2.94,0.38,13.4,very good,organic,dry,white bold
45,6.3,0.21,0.33,13.9,0.046,68.0,179.0,0.9971,3.36,0.5,10.4,decent,traditional,off-dry,white light_bodied
46,6.3,0.23,0.22,17.45,0.054000000000000006,42.0,151.0,0.9985299999999999,3.12,0.6,9.3,decent,traditional,off-dry,white light_bodied
47,6.4,0.24,0.32,14.9,0.047,54.0,162.0,0.9968,3.28,0.5,10.2,decent,traditional,off-dry,white light_bodied
48,6.3,0.28,0.22,11.5,0.036000000000000004,27.0,150.0,0.99445,3.0,0.33,10.6,decent,traditional,off-dry,white light_bodied
49,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,good,traditional,off-dry,white light_bodied
50,7.0,0.31,0.31,9.1,0.036000000000000004,45.0,140.0,0.99216,2.98,0.31,12.0,good,traditional,dry,white full_bodied
51,5.4,0.46,0.15,2.1,0.026000000000000002,29.0,130.0,0.9895299999999999,3.39,0.77,13.4,very good,traditional,dry,white bold
52,7.1,0.25,0.32,10.3,0.040999999999999995,66.0,272.0,0.9969,3.17,0.52,9.1,decent,traditional,off-dry,white light_bodied
53,5.7,0.36,0.34,4.2,0.026000000000000002,21.0,77.0,0.9907,3.41,0.45,11.9,decent,organic,dry,white full_bodied
54,6.3,0.35,0.3,5.7,0.035,8.0,97.0,0.9927,3.27,0.41,11.0,good,organic,dry,white light_bodied
55,6.6,0.21,0.38,2.2,0.026000000000000002,40.0,104.0,0.9914,3.25,0.4,11.1,very good,organic,dry,white full_bodied
56,7.2,0.27,0.42,1.6,0.05,35.0,135.0,0.992,2.94,0.46,11.0,decent,traditional,dry,white light_bodied
57,10.1,0.45,0.23,1.9,0.08199999999999999,10.0,18.0,0.99774,3.22,0.65,9.3,decent,organic,dry,red fresh
58,7.0,0.61,0.26,1.7,0.051,25.0,161.0,0.9946,3.36,0.6,10.6,very poor,traditional,dry,white light_bodied
59,8.2,0.26,0.44,1.3,0.046,7.0,69.0,0.9944,3.14,0.62,10.2,very poor,organic,dry,white light_bodied
60,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,decent,organic,dry,red fresh
61,6.8,0.27,0.3,13.0,0.047,69.0,160.0,0.99705,3.16,0.5,9.6,decent,traditional,off-dry,white light_bodied
62,5.8,0.28,0.18,1.2,0.057999999999999996,7.0,108.0,0.9928799999999999,3.23,0.58,9.55,very poor,organic,dry,white light_bodied
63,8.5,0.18,0.51,1.75,0.071,45.0,88.0,0.99524,3.33,0.76,11.8,good,organic,dry,red regular
64,6.0,0.16,0.27,12.0,0.03,39.0,98.0,0.9940200000000001,3.15,0.34,10.8,poor,organic,off-dry,white light_bodied
65,6.6,0.64,0.28,4.4,0.032,19.0,78.0,0.99036,3.11,0.62,12.9,decent,organic,dry,white full_bodied
66,6.6,0.23,0.3,4.6,0.06,29.0,154.0,0.9914200000000001,3.23,0.49,12.2,very good,traditional,dry,white full_bodied
67,5.8,0.3,0.42,1.1,0.036000000000000004,19.0,113.0,0.9887100000000001,3.1,0.46,12.6,good,organic,dry,white full_bodied
68,6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,poor,organic,dry,red fresh
69,5.2,0.31,0.2,2.4,0.027000000000000003,27.0,117.0,0.9888600000000001,3.56,0.45,13.0,good,organic,dry,white full_bodied
70,6.9,0.24,0.33,12.5,0.046,47.0,153.0,0.9983,3.28,0.77,9.6,decent,traditional,off-dry,white light_bodied
71,7.2,0.23,0.19,13.7,0.052000000000000005,47.0,197.0,0.99865,3.12,0.53,9.0,poor,traditional,off-dry,white light_bodied
72,7.1,0.28,0.44,1.8,0.032,32.0,107.0,0.9907,3.25,0.48,12.2,good,organic,dry,white full_bodied
73,7.1,0.26,0.32,16.2,0.044000000000000004,31.0,170.0,0.99644,3.17,0.37,11.2,poor,traditional,off-dry,white full_bodied
74,7.0,0.15,0.3,13.3,0.049,46.0,120.0,0.9970399999999999,3.2,0.36,9.5,good,organic,off-dry,white light_bodied
75,6.4,0.38,0.24,7.2,0.047,41.0,151.0,0.9960399999999999,3.11,0.6,9.2,poor,traditional,dry,white light_bodied
76,6.9,0.19,0.6,4.0,0.037000000000000005,6.0,122.0,0.99255,2.92,0.59,10.4,very poor,traditional,dry,white light_bodied
77,5.4,0.33,0.31,4.0,0.03,27.0,108.0,0.99031,3.3,0.43,12.2,good,organic,dry,white full_bodied
78,6.9,0.28,0.41,1.4,0.016,6.0,55.0,0.9887600000000001,3.16,0.4,13.4,poor,organic,dry,white bold
79,7.2,0.32,0.36,2.0,0.033,37.0,114.0,0.9906,3.1,0.71,12.3,good,organic,dry,white full_bodied
80,9.5,0.59,0.44,2.3,0.071,21.0,68.0,0.9992,3.46,0.63,9.5,poor,organic,dry,red fresh
81,7.0,0.24,0.3,4.2,0.04,41.0,213.0,0.9927,3.28,0.49,11.8,decent,traditional,dry,white full_bodied
82,7.8,0.21,0.27,1.2,0.051,20.0,89.0,0.9936,3.06,0.46,9.1,poor,organic,dry,white light_bodied
83,8.0,0.62,0.35,2.8,0.086,28.0,52.0,0.997,3.31,0.62,10.8,poor,organic,dry,red regular
84,7.0,0.18,0.37,1.5,0.043,16.0,104.0,0.99216,3.18,0.5,10.8,poor,organic,dry,white light_bodied
85,7.9,0.64,0.46,10.6,0.244,33.0,227.0,0.9983,2.87,0.74,9.1,NA,traditional,off-dry,white light_bodied
86,7.3,0.26,0.32,1.2,0.040999999999999995,29.0,94.0,0.9897799999999999,3.07,0.45,12.0,decent,organic,dry,white full_bodied
87,5.8,0.54,0.0,1.4,0.033,40.0,107.0,0.98918,3.26,0.35,12.4,poor,organic,dry,white full_bodied
88,6.9,0.4,0.22,5.95,0.081,76.0,303.0,0.99705,3.4,0.57,9.4,poor,traditional,dry,white light_bodied
89,7.1,0.23,0.39,13.7,0.057999999999999996,26.0,172.0,0.99755,2.9,0.46,9.0,decent,traditional,off-dry,white light_bodied
90,7.5,0.31,0.24,7.1,0.031,28.0,141.0,0.99397,3.16,0.38,10.6,good,traditional,dry,white light_bodied
91,6.9,0.34,0.74,11.2,0.069,44.0,150.0,0.9968,3.0,0.81,9.2,poor,traditional,off-dry,white light_bodied
92,8.1,0.66,0.7,2.2,0.098,25.0,129.0,0.9972,3.08,0.53,9.0,poor,traditional,dry,red fresh
93,7.4,0.16,0.27,15.5,0.05,25.0,135.0,0.9984,2.9,0.43,8.7,good,traditional,off-dry,white light_bodied
94,6.9,0.38,0.25,9.8,0.04,28.0,191.0,0.9971,3.28,0.61,9.2,poor,traditional,dry,white light_bodied
95,6.3,0.34,0.19,5.8,0.040999999999999995,22.0,145.0,0.9943,3.15,0.63,9.9,poor,traditional,dry,white light_bodied
96,6.8,0.56,0.03,1.7,0.084,18.0,35.0,0.9968,3.44,0.63,10.0,decent,organic,dry,red fresh
97,6.1,0.17,0.27,1.5,0.055999999999999994,45.0,135.0,0.9924,3.2,0.43,10.2,decent,traditional,dry,white light_bodied
98,9.4,0.28,0.3,1.6,0.045,36.0,139.0,0.99534,3.11,0.49,9.3,poor,traditional,dry,white light_bodied
99,6.7,0.105,0.32,12.4,0.051,34.0,106.0,0.998,3.54,0.45,9.2,decent,organic,off-dry,white light_bodied
100,6.8,0.67,0.15,1.8,0.11800000000000001,13.0,20.0,0.9954,3.42,0.67,11.3,decent,organic,dry,red regular
101,8.5,0.34,0.44,1.7,0.079,6.0,12.0,0.99605,3.52,0.63,10.7,poor,organic,dry,red regular
102,8.4,1.035,0.15,6.0,0.073,11.0,54.0,0.9990000000000001,3.37,0.49,9.9,poor,organic,dry,red fresh
103,8.6,0.53,0.22,2.0,0.1,7.0,27.0,0.9967,3.2,0.56,10.2,decent,organic,dry,red regular
104,7.0,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,3.25,0.54,10.4,decent,traditional,dry,white light_bodied
105,6.5,0.41,0.22,4.8,0.052000000000000005,49.0,142.0,0.9946,3.14,0.62,9.2,poor,traditional,dry,white light_bodied
106,6.9,0.54,0.26,12.7,0.049,59.0,195.0,0.9959600000000001,3.26,0.54,10.5,decent,traditional,off-dry,white light_bodied
107,6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,NA,organic,dry,red fresh
108,7.3,0.21,0.29,1.6,0.034,29.0,118.0,0.9917,3.3,0.5,11.0,very good,organic,dry,white light_bodied
109,6.9,0.26,0.27,4.2,0.031,20.0,80.0,0.9908899999999999,3.12,0.39,11.5,decent,organic,dry,white full_bodied
110,6.1,0.22,0.4,1.85,0.031,25.0,111.0,0.98966,3.03,0.3,11.8,good,organic,dry,white full_bodied
111,7.1,0.14,0.4,1.2,0.051,55.0,136.0,0.9932,3.3,0.96,9.8,good,traditional,dry,white light_bodied
112,8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.9999,2.92,0.68,9.4,very poor,traditional,off-dry,white light_bodied
113,7.2,0.39,0.63,11.0,0.044000000000000004,55.0,156.0,0.9974,3.09,0.44,8.7,decent,traditional,off-dry,white light_bodied
114,5.8,0.415,0.13,1.4,0.04,11.0,64.0,0.9922,3.29,0.52,10.5,poor,organic,dry,white light_bodied
115,6.0,0.28,0.24,17.8,0.047,42.0,111.0,0.9989600000000001,3.1,0.45,8.9,decent,organic,off-dry,white light_bodied
116,6.2,0.25,0.42,8.0,0.049,53.0,206.0,0.9958600000000001,3.16,0.47,9.1,decent,traditional,dry,white light_bodied
117,7.5,0.42,0.34,4.3,0.04,34.0,108.0,0.99155,3.14,0.45,12.8,very good,organic,dry,white full_bodied
118,7.6,0.27,0.24,3.8,0.057999999999999996,19.0,115.0,0.9958,3.15,0.45,8.9,poor,organic,dry,white light_bodied
119,5.7,0.25,0.21,1.5,0.044000000000000004,21.0,108.0,0.9914200000000001,3.3,0.59,11.0,decent,organic,dry,white light_bodied
120,8.0,0.3,0.28,5.7,0.044000000000000004,31.0,124.0,0.9948,3.16,0.51,10.2,decent,traditional,dry,white light_bodied
121,7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.9936,3.08,0.3,9.2,poor,traditional,dry,white light_bodied
122,6.2,0.46,0.17,1.6,0.073,7.0,11.0,0.99425,3.61,0.54,11.4,poor,organic,dry,red regular
123,8.0,0.24,0.3,17.45,0.055999999999999994,43.0,184.0,0.9997,3.05,0.5,9.2,decent,traditional,off-dry,white light_bodied
124,6.7,0.4,0.22,8.8,0.052000000000000005,24.0,113.0,0.9957600000000001,3.22,0.45,9.4,poor,organic,dry,white light_bodied
125,6.2,0.66,0.48,1.2,0.028999999999999998,29.0,75.0,0.9892,3.33,0.39,12.8,very good,organic,dry,white full_bodied
126,7.1,0.25,0.28,1.2,0.04,31.0,111.0,0.99174,3.18,0.53,11.1,poor,organic,dry,white full_bodied
127,6.5,0.29,0.3,9.15,0.051,25.0,166.0,0.99339,3.24,0.56,11.35,decent,traditional,dry,white full_bodied
128,7.5,0.19,0.49,1.6,0.047,42.0,140.0,0.9932,3.4,0.47,10.7,decent,traditional,dry,white light_bodied
129,9.7,0.24,0.49,4.9,0.032,3.0,18.0,0.9936799999999999,2.85,0.54,10.0,decent,organic,dry,white light_bodied
130,6.2,0.21,0.34,6.6,0.03,36.0,91.0,0.9914,3.32,0.45,12.5,good,organic,dry,white full_bodied
131,9.1,0.25,0.34,2.0,0.071,45.0,67.0,0.99769,3.44,0.86,10.2,good,organic,dry,red regular
132,7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,very good,traditional,dry,white full_bodied
133,6.5,0.25,0.2,1.4,0.024,29.0,101.0,0.9916,3.24,0.54,10.8,decent,organic,dry,white light_bodied
134,6.8,0.3,0.35,2.8,0.038,10.0,164.0,0.9912,3.09,0.53,12.0,decent,traditional,dry,white full_bodied
135,8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,poor,organic,dry,red fresh
136,7.1,0.72,0.0,1.8,0.12300000000000001,6.0,14.0,0.9962700000000001,3.45,0.58,9.8,poor,organic,dry,red fresh
137,6.2,0.37,0.24,6.1,0.032,19.0,86.0,0.98934,3.04,0.26,13.4,very good,organic,dry,white bold
138,5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.99256,3.52,0.58,12.9,poor,organic,dry,red intense
139,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.9940000000000001,3.3,0.49,9.5,decent,traditional,dry,white light_bodied
140,6.6,0.32,0.34,7.7,0.044000000000000004,63.0,212.0,0.99526,3.22,0.48,9.7,decent,traditional,dry,white light_bodied
141,8.0,0.18,0.49,1.8,0.061,10.0,145.0,0.9942,3.23,0.48,10.0,poor,traditional,dry,white light_bodied
142,7.0,0.28,0.28,1.4,0.039,12.0,83.0,0.9917299999999999,3.18,0.65,11.1,poor,organic,dry,white full_bodied
143,7.4,0.21,0.27,7.3,0.031,41.0,144.0,0.9932,3.15,0.38,11.8,good,traditional,dry,white full_bodied
144,8.3,0.26,0.37,1.4,0.076,8.0,23.0,0.9974,3.26,0.7,9.6,decent,organic,dry,red fresh
145,8.2,0.635,0.1,2.1,0.073,25.0,60.0,0.9963799999999999,3.29,0.75,10.9,decent,organic,dry,red regular
146,6.3,0.23,0.22,3.75,0.039,37.0,116.0,0.9927,3.23,0.5,10.7,decent,organic,dry,white light_bodied
147,7.2,0.24,0.36,2.0,0.028999999999999998,21.0,63.0,0.9907600000000001,3.13,0.63,12.5,decent,organic,dry,white full_bodied
148,6.1,0.33,0.32,7.8,0.052000000000000005,52.0,183.0,0.9965700000000001,3.39,0.65,9.5,poor,traditional,dry,white light_bodied
149,6.2,0.16,0.33,1.1,0.057,21.0,82.0,0.991,3.32,0.46,10.9,good,organic,dry,white light_bodied
150,6.3,0.19,0.21,1.8,0.049,35.0,163.0,0.9924,3.31,0.5,10.3,decent,traditional,dry,white light_bodied
151,12.0,0.28,0.49,1.9,0.07400000000000001,10.0,21.0,0.9976,2.98,0.66,9.9,good,organic,dry,red fresh
